Email_ID,Custom_ID,Solution,Unit,편명,Date,Priority,Alert_type,Message_Number,Work Detail Keyword,ATA_from_Alert,POS_ESN,Plainbody,ASMR,Attachment,Severity,Type,Department,Organization,ATA,ATA_Detail,Trouble Shooting Recommendation,[CHK] NR_Required,[CHK] EngineerReview,Engineer_Comment,MCPI_Plan,Alert Type,NR Priority,NR Number,NR Creation Date,수행 일자,점검 결과,Cost,ATA (2-Letter),Ref_KEY,AC_Type,HL_No.,Status,Folder_ID,Shop Finding,DOC_URL
196457f5d7c5e45b,,AHM,748_HL7623,KE0314,2025. 4. 18,,,29-0121-S831,HYDRAULIC CASE DRAIN TEMPERATURE DIFFERENCE TOO LARGE: SYSTEMS 2 & 3  (29-0121-S831),,,HYDRAULIC CASE DRAIN TEMPERATURE DIFFERENCE TOO LARGE: SYSTEMS 2 & 3  (29-0121-S831),,,,,,,,,,FALSE,TRUE,"[오진석] Monitoring
No.2: 86도 2980 psi, No.3: 65도 2990 psi",,No Action,,,,2025. 4. 18,,,29,748_HL76232025-04-18 05:45:26,748,HL7623,Closed,,N/A,
19642f4703b5b8da,,SPM,321_HL8556,KE1408,2025. 4. 17,,,,ENGINE 1 (1000EM1) N2 EXCESSIVE VIBRATION DETECTED,,,ENGINE 1 (1000EM1) N2 EXCESSIVE VIBRATION DETECTED,,,,,,,,,,FALSE,TRUE,[박창훈] MOT,,No Action,,,,2025. 4. 18,,,77,321_HL85562025-04-17 17:54:24,321,HL8556,Monitoring,,N/A,
330_HL7720Thu Apr 17 2025 16:58:53 GMT+0900 (Korean Standard Time),,KAL,330_HL7720,KE457,2025. 4. 17,,,330-KAL-29-005,Green Hydraulic Leak Suspected - 비행전/후 Level 변화폭 증가,,,,,,,,,,,,,FALSE,TRUE,[박창훈] EDP Elbow 교환 작업 수행,,No Action,MID,,,2025. 4. 18,,,29,330_HL7720Thu Apr 17 2025 16:58:53 GMT+0900 (Korean Standard Time),330,HL7720,Closed,,N/A,
330_HL7720Thu Apr 17 2025 16:58:09 GMT+0900 (Korean Standard Time),,KAL,330_HL7720,KE457,2025. 4. 17,,,330-KAL-29-005,Yellow Hydraulic Leak Suspected - 비행전/후 Level 변화폭 증가,,,,,,,,,,,,,FALSE,TRUE,[박창훈] EDP Elbow 교환 작업 수행,,No Action,MID,,,2025. 4. 18,,,29,330_HL7720Thu Apr 17 2025 16:58:09 GMT+0900 (Korean Standard Time),330,HL7720,Closed,,N/A,
330_HL7720Thu Apr 17 2025 16:57:31 GMT+0900 (Korean Standard Time),,KAL,330_HL7720,KE457,2025. 4. 17,,,330-KAL-29-005,Green Hydraulic Leak Suspected - Slope 상승,,,,,,,,,,,,,FALSE,TRUE,[박창훈] EDP Elbow 교환 작업 수행,,No Action,MID,,,2025. 4. 18,,,29,330_HL7720Thu Apr 17 2025 16:57:31 GMT+0900 (Korean Standard Time),330,HL7720,Closed,,N/A,
1963f75fb39368eb,,AHM,748_HL7609,KE0283,2025. 4. 17,,,29-0109-S831,HYDRAULIC SYSTEM 2 PRESSURE TRENDING TOO HIGH OR TOO LOW  (29-0109-S831),,,HYDRAULIC SYSTEM 2 PRESSURE TRENDING TOO HIGH OR TOO LOW  (29-0109-S831),,,,,,,,,,FALSE,TRUE,"[오진석]
Limit 이내로 Minitoring",,No Action,,,,2025. 4. 17,,,29,748_HL76092025-04-17 01:37:23,748,HL7609,Closed,,N/A,
1963e56781338649,,AHM,787_HL7208,KE0651,2025. 4. 16,,,32-0010-C001,BRAKES 1 AND 2:  HIGH AXLE-MATE BRAKE TEMPERATURE DIFFERENTIAL  (32-0010-C001),,,BRAKES 1 AND 2:  HIGH AXLE-MATE BRAKE TEMPERATURE DIFFERENTIAL  (32-0010-C001),,,,,,,,,,FALSE,TRUE,"[오진석]
#1 : 1.2, #2 : 5.3 으로 #2이 다른 Position 대비 높음, 반복 발생시 추가 검토 ",,No Action,,,,2025. 4. 17,,14432,32,787_HL72082025-04-16 20:23:24,787,HL7208,Closed,,N/A,
1963b32dea730011,,AHM,748_HL7624,KE0518,2025. 4. 16,,,29-0121-S831,HYDRAULIC CASE DRAIN TEMPERATURE DIFFERENCE TOO LARGE: SYSTEMS 2 & 3  (29-0121-S831),,,HYDRAULIC CASE DRAIN TEMPERATURE DIFFERENCE TOO LARGE: SYSTEMS 2 & 3  (29-0121-S831),,,,,,,,,,FALSE,TRUE,[남태영] Monitoring,,No Action,,,,2025. 4. 16,,,29,748_HL76242025-04-16 05:45:23,748,HL7624,Closed,,N/A,
19639e92121eca45,,AHM,777_HL8009,KE0037,2025. 4. 15,,,30-0041-S910,SIGNIFICANTLY SLOW RH WAI VALVE OPENING TIME (BP-CORRECTED)  (30-0041-S910),,,SIGNIFICANTLY SLOW RH WAI VALVE OPENING TIME (BP-CORRECTED)  (30-0041-S910),,,,,,,,,,FALSE,TRUE,"[김민석]
Descent시 L/R 동시발생의 경우 Inhibit Logic으로 인한 Nuisance 가능성 높음. 메일 참조.
Flap Operation 직후에 발생 - 모니터링",,No Action,,,,2025. 4. 17,,,30,777_HL80092025-04-15 23:45:34,777,HL8009,Closed,,N/A,
19639e925c453ce8,,AHM,777_HL8009,KE0037,2025. 4. 15,,,30-0040-S910,SIGNIFICANTLY SLOW LH WAI VALVE OPENING TIME (BP-CORRECTED)  (30-0040-S910),,,SIGNIFICANTLY SLOW LH WAI VALVE OPENING TIME (BP-CORRECTED)  (30-0040-S910),,,,,,,,,,FALSE,TRUE,"[김민석]
Descent시 L/R 동시발생의 경우 Inhibit Logic으로 인한 Nuisance 가능성 높음. 메일 참조.
Flap Operation 직후에 발생 - 모니터링",,No Action,,,,2025. 4. 17,,,30,777_HL80092025-04-15 23:45:26,777,HL8009,Closed,,N/A,
330_HL7554Tue Apr 15 2025 12:48:08 GMT+0900 (Korean Standard Time),,KAL,330_HL7554,KE806,2025. 4. 15,,,330-KAL-49-001,APU HOT (High Oil Temp) High - Engine Start Phase,,,,,,,,,,,,,FALSE,TRUE,[남태영] TS 진행 중 (MOT Handling),,No Action,MID,,,2025. 4. 16,,0,49,330_HL7554Tue Apr 15 2025 12:48:08 GMT+0900 (Korean Standard Time),330,HL7554,Closed,,N/A,
330_HL7554Tue Apr 15 2025 12:47:43 GMT+0900 (Korean Standard Time),,KAL,330_HL7554,KE806,2025. 4. 15,,,330-KAL-49-001,APU HOT (High Oil Temp) High - Engine Start Phase,,,,,,,,,,,,,FALSE,TRUE,[남태영] TS 진행 중 (MOT Handling),,No Action,MID,,,2025. 4. 16,,0,49,330_HL7554Tue Apr 15 2025 12:47:43 GMT+0900 (Korean Standard Time),330,HL7554,Closed,,N/A,
19635d60884e025a,,AHM,748_HL7609,KE0213,2025. 4. 15,,,29-0109-S831,HYDRAULIC SYSTEM 2 PRESSURE TRENDING TOO HIGH OR TOO LOW  (29-0109-S831),,,HYDRAULIC SYSTEM 2 PRESSURE TRENDING TOO HIGH OR TOO LOW  (29-0109-S831),,,,,,,,,,FALSE,TRUE,[남태영] False Alert,,No Action,,,,2025. 4. 16,,,29,748_HL76092025-04-15 04:46:23,748,HL7609,Closed,,N/A,
1962df09852bd22f,,AHM,748_HL7636,KE0174,2025. 4. 13,,,36-0001-S607,HIGH PRESS S/O VLV OPEN IN CRUISE  (36-0001-S607),,,HIGH PRESS S/O VLV OPEN IN CRUISE  (36-0001-S607),,,,,,,,,,FALSE,TRUE,[남태영] False Alert,,No Action,,,,2025. 4. 16,,,36,748_HL76362025-04-13 15:58:23,748,HL7636,Closed,,N/A,
1962b8b2775925dd,,AHM,777_HL8076,KE0273,2025. 4. 13,,,30-0030-S403,SIGNIFICANTLY SLOW RH EAI VALVE OPENING TIME DETECTED (BP-CORRECTED)  (30-0030-S403),,,SIGNIFICANTLY SLOW RH EAI VALVE OPENING TIME DETECTED (BP-CORRECTED)  (30-0030-S403),,,,,,,,,,FALSE,TRUE,"[박창훈] 13sec, 1회 발생, 반복 발생 모니터링",,No Action,,,,2025. 4. 13,,40144,30,777_HL80762025-04-13 04:48:24,777,HL8076,Closed,,N/A,
1962ab1616c10332,,AHM,777_HL8210,KE0901,2025. 4. 13,,,32-3166-Y921,NOSE LANDING DOOR SLOW TO START OPENING DURING EXTENSION (AIRLINE CONFIGURABLE ALERT LIMIT)  (32-3166-Y921),,,NOSE LANDING DOOR SLOW TO START OPENING DURING EXTENSION (AIRLINE CONFIGURABLE ALERT LIMIT)  (32-3166-Y921),,,,,,,,,,FALSE,TRUE,"[박창훈] 53.2.sec 기록됨. 그외 MSG 없음, ACMS 오류 의심. 후속편 모니터링",,No Action,,,,2025. 4. 13,,,32,777_HL82102025-04-13 00:50:23,777,HL8210,Closed,,N/A,
220_HL7201Sat Apr 12 2025 13:02:18 GMT+0900 (Korean Standard Time),,KAL,220_HL7201,KE1075,2025. 4. 12,,,220-KAL-36-001,A220 No.2 PRSOV Degradtion,,,,,,,,,,,,,FALSE,TRUE,[남태영] Monitoring,,No Action,MID,,,2025. 4. 16,,8000,36,220_HL7201Sat Apr 12 2025 13:02:18 GMT+0900 (Korean Standard Time),220,HL7201,Closed,,N/A,
330_HL7702Fri Apr 11 2025 06:31:41 GMT+0900 (Korean Standard Time),,KAL,330_HL7702,KE647,2025. 4. 11,,,330-KAL-29-005,Green Hydraulic Leak Suspected - Slope 상승,,,,,,,,,,,,,FALSE,TRUE,"[박창훈] 관련 System 작업 후 Level 변화, 이상 없음",,No Action,MID,,,2025. 4. 11,,,29,330_HL7702Fri Apr 11 2025 06:31:41 GMT+0900 (Korean Standard Time),330,HL7702,Closed,,N/A,
196208de52ba237a,,AHM,748_HL7609,KE0537,2025. 4. 11,,,29-0109-S831,HYDRAULIC SYSTEM 2 PRESSURE TRENDING TOO HIGH OR TOO LOW  (29-0109-S831),,,HYDRAULIC SYSTEM 2 PRESSURE TRENDING TOO HIGH OR TOO LOW  (29-0109-S831),,,,,,,,,,FALSE,TRUE,[박창훈] No.2 Engine 교환에 따른 HYD Pressure 상승. Limit 이내로 정상.,,No Action,,,,2025. 4. 11,,,29,748_HL76092025-04-11 01:35:24,748,HL7609,Closed,,N/A,
83482025-04-10 17:03:50,,KAL,7M8_HL8348,KE843,2025. 4. 10,,,7M8-KAL-21-001,LH Pack Heat Exchanger Degraded,,,,,,,,,,,,,TRUE,TRUE," Cruise 시,  Heat Exchanger Outlet Temp 최대치가 L/H : 100℃ 초과 (Max 125.5℃)
    ⇒ 4/9 KE102 편 이후 급격히 Temp 증가",,Predictive Alert,URGENT,13129960,2025. 4. 10,2025. 4. 11,"<4/10(N)> A/C SKD 변경 후 야간 작업 수행
1. Ram Air Inlet Area Inspection → Normal // No FO
2. Deflector Door Closed 점검 → normal
3. HX Cleaning 완료 (전/후 온도 변환는 없음 42℃ Normal)
4. 추가 모니터링 예정 
// 확인 결과 섭씨 온도가 화씨로 표시되면서 높게 지시, 관련 로직 포함 차트 개선 완료",33600,21,83482025-04-10 17:03:50,7M8,HL8348,Closed,,NFF,
330_HL7701Thu Apr 10 2025 13:48:00 GMT+0900 (Korean Standard Time),,KAL,330_HL7701,KE865,2025. 4. 10,,,330-KAL-29-005,Blue Hydraulic Leak Suspected - 비행전/후 Level 변화폭 증가,,,,,,,,,,,,,FALSE,TRUE,[박창훈] Blue SYS Car402 교환,,No Action,MID,,,2025. 4. 10,,,29,330_HL7701Thu Apr 10 2025 13:48:00 GMT+0900 (Korean Standard Time),330,HL7701,Closed,,N/A,
80102025-04-10 13:39:46,,KAL,777_HL8010,KE0000,2025. 4. 10,,,777-KAL-21-006,RH Ram Air Inlet Door Position Fluctuation,,,,,,,,,,,,,TRUE,TRUE,[남태영] Mechanism 점검 후 이상없을 시 RAI Actuator 교환,,Predictive Alert,MID,13128386,2025. 4. 10,2025. 4. 16,[4/16] RAI Door Act 교환 완료,0,21,80102025-04-10 13:39:46,777,HL8010,Closed,,Pending,
330_HL7584Thu Apr 10 2025 13:12:04 GMT+0900 (Korean Standard Time),,KAL,330_HL7584,KE1188,2025. 4. 10,,,330-KAL-29-005,Green Hydraulic Leak Suspected - Slope 상승,,,,,,,,,,,,,FALSE,TRUE,[박창훈] 항공기 Long Ground 및 정비 잡업으로 Level Change,,No Action,MID,,,2025. 4. 10,,,29,330_HL7584Thu Apr 10 2025 13:12:04 GMT+0900 (Korean Standard Time),330,HL7584,Monitoring,,N/A,
330_HL7584Thu Apr 10 2025 13:11:25 GMT+0900 (Korean Standard Time),,KAL,330_HL7584,KE1188,2025. 4. 10,,,330-KAL-29-005,Yellow Hydraulic Leak Suspected - Slope 상승,,,,,,,,,,,,,FALSE,TRUE,[박창훈] 항공기 Long Ground 및 정비 잡업으로 Level Change,,No Action,MID,,,2025. 4. 10,,,29,330_HL7584Thu Apr 10 2025 13:11:25 GMT+0900 (Korean Standard Time),330,HL7584,Monitoring,,N/A,
220_HL7201Thu Apr 10 2025 12:02:48 GMT+0900 (Korean Standard Time),,KAL,220_HL7201,KE1708,2025. 4. 10,,,220-KAL-36-001,A220 No.1 PRSOV Degradation,,,,,,,,,,,,,FALSE,TRUE,"[오진석]
Monitoring",,No Action,MID,,,2025. 4. 21,,8000,36,220_HL7201Thu Apr 10 2025 12:02:48 GMT+0900 (Korean Standard Time),220,HL7201,Closed,,N/A,
1961d9c56cba60c8,,AHM,748_HL7609,KE0537,2025. 4. 10,,,29-0109-S831,HYDRAULIC SYSTEM 2 PRESSURE TRENDING TOO HIGH OR TOO LOW  (29-0109-S831),,,HYDRAULIC SYSTEM 2 PRESSURE TRENDING TOO HIGH OR TOO LOW  (29-0109-S831),,,,,,,,,,FALSE,TRUE,[남태영] Monitoring,,No Action,,,,2025. 4. 10,,,29,748_HL76092025-04-10 11:52:24,748,HL7609,Closed,,N/A,
1961cdcfd1c40b14,,AHM,787_HL8538,KE0075,2025. 4. 10,,,21-0192-EIS,AN ICS FLUID LEAK MAY HAVE OCCURRED - SUDDEN CHANGE DETECTED  (21-0192-EIS),,,AN ICS FLUID LEAK MAY HAVE OCCURRED - SUDDEN CHANGE DETECTED  (21-0192-EIS),,,,,,,,,,FALSE,TRUE,[남태영] 신규도입기 작업 후 첫 Flight 에 나온 Alert 로 Disregard,,No Action,,,,2025. 4. 10,,,21,787_HL85382025-04-10 08:23:23,787,HL8538,Closed,,N/A,
19611f4a9d6e3dc2,,AHM,748_HL7617,KE0314,2025. 4. 8,,,29-0121-S831,HYDRAULIC CASE DRAIN TEMPERATURE DIFFERENCE TOO LARGE: SYSTEMS 2 & 3  (29-0121-S831),,,HYDRAULIC CASE DRAIN TEMPERATURE DIFFERENCE TOO LARGE: SYSTEMS 2 & 3  (29-0121-S831),,,,,,,,,,FALSE,TRUE,[남태영] False Alert 다수 발생하여 Monitoring,,No Action,,,,2025. 4. 8,,,29,748_HL76172025-04-08 05:33:24,748,HL7617,Closed,,N/A,
19608dad19b6b82e,,AHM,777_HL7783,KE0037,2025. 4. 6,,,36-0205-C91G,"LH BLEED SYSTEM DEGRADATION DURING PFBIT OPERATION [WATCH, METRIC 5A]  (36-0205-C91G)",,,"LH BLEED SYSTEM DEGRADATION DURING PFBIT OPERATION [WATCH, METRIC 5A]  (36-0205-C91G)",,,,,,,,,,TRUE,TRUE,"[오진석]
PFBIT (Pre-Flight Built-In Test) 시 PI 감소 현상으로 HPSOV Degradation 발췌",,Predictive Alert,MID,13118546,2025. 4. 6,2025. 4. 9,"<4/9> Operation & Leak Check Normal, HPSOV 예방정비 교환",21424,36,777_HL77832025-04-06 11:08:23,777,HL7783,Monitoring,,Pending,
19604e339e56e6f6,,AHM,787_HL8082,KE0032,2025. 4. 5,,,49-0034-C560,APU OIL FILTER PRESSURE LOW  (49-0034-C560),,,APU OIL FILTER PRESSURE LOW  (49-0034-C560),,,,,,,,,,FALSE,TRUE,"[오진석]
Deferred 
APU OIL QTY LOW
FOUND APU G/B HOUSING FWD AREA FUNCTURED",,No Action,,,,2025. 4. 6,,,49,787_HL80822025-04-05 16:39:23,787,HL8082,Closed,,N/A,
330_HL7524Sat Apr 05 2025 12:51:37 GMT+0900 (Korean Standard Time),,KAL,330_HL7524,KE811,2025. 4. 5,,,330-KAL-29-005,Green Hydraulic Leak Suspected - Slope 상승,,,,,,,,,,,,,FALSE,TRUE,"[오진석]
CHK NML",,No Action,MID,,,2025. 4. 6,,,29,330_HL7524Sat Apr 05 2025 12:51:37 GMT+0900 (Korean Standard Time),330,HL7524,Closed,147VksdsnmdlACVn-qk0NpInLoZRrp6PB,N/A,
196033aef53cd438,,SPM,321_HL8556,KE0712,2025. 4. 5,,,,ENGINE 1 (1000EM1) N2 EXCESSIVE VIBRATION DETECTED,,,ENGINE 1 (1000EM1) N2 EXCESSIVE VIBRATION DETECTED,,,,,,,,,,FALSE,TRUE,"[오진석]
4/7 GMP No.1 ENG 교환 예정.",,No Action,,,,2025. 4. 6,,,77,321_HL85562025-04-05 08:55:24,321,HL8556,Closed,,N/A,
220_HL7201Fri Apr 04 2025 16:01:56 GMT+0900 (Korean Standard Time),,KAL,220_HL7201,KE1717,2025. 4. 4,,,220-KAL-36-001,A220 No.2 PRSOV Degradtion,,,,,,,,,,,,,FALSE,TRUE,[박창훈] LH Bleed Pressure' Unstable 경향. 모니터링 후 RH와 Difference 증가시 교환 의견,,No Action,MID,,,2025. 4. 7,,8000,36,220_HL7201Fri Apr 04 2025 16:01:56 GMT+0900 (Korean Standard Time),220,HL7201,Closed,,N/A,
330_HL8002Thu Apr 03 2025 11:26:31 GMT+0900 (Korean Standard Time),,KAL,330_HL8002,KE2102,2025. 4. 3,,,330-KAL-29-005,Green Hydraulic Leak Suspected - Slope 상승,,,,,,,,,,,,,FALSE,TRUE,"[오진석]
3/25~4/2, PUS Landing TRP 수행",,No Action,MID,,,2025. 4. 3,,,29,330_HL8002Thu Apr 03 2025 11:26:31 GMT+0900 (Korean Standard Time),330,HL8002,Closed,,N/A,
737_HL8221Wed Apr 02 2025 20:06:14 GMT+0900 (Korean Standard Time),,KAL,737_HL8221,KE1562,2025. 4. 17,,,737-KAL-36-004,RH Precooler System Degraded,,,,,,,,,,,,,TRUE,TRUE,"[오진석] 
3월 작업후 결함 추가 발생건
     1. PCCV Health Test 수행
     2. BAR/PRSOV Health Test 수행
-  점검 결과 이상 없을시 WAI Solenoid Save 적용 교환
",,Predictive Alert,MID,13112210,2025. 4. 3,2025. 4. 22,<04/21> PCCV - 390 센서간 Hose Puncture (3번째)  ,9800,36,737_HL8221Wed Apr 02 2025 20:06:14 GMT+0900 (Korean Standard Time),737,HL8221,Closed,,Fault,
737_HL8221Wed Apr 02 2025 20:05:50 GMT+0900 (Korean Standard Time),,KAL,737_HL8221,KE1562,2025. 4. 1,,,737-KAL-36-004,RH Precooler System Degraded,,,,,,,,,,,,,TRUE,TRUE,"[오진석]
중복 Alert",,Predictive Alert,MID,,2025. 4. 3,2025. 4. 3,,9800,36,737_HL8221Wed Apr 02 2025 20:05:50 GMT+0900 (Korean Standard Time),737,HL8221,Closed,,Pending,
195f3a92be62f434,,AHM,777_HL8005,KE8257,2025. 4. 2,,,34-0001-S136,SAARU IS DEGRADED AND MAY REQUIRE FURTHER MAINTENANCE ACTION.  (34-0001-S136),,,SAARU IS DEGRADED AND MAY REQUIRE FURTHER MAINTENANCE ACTION.  (34-0001-S136),,,,,,,,,,TRUE,TRUE,"[오진석]
SAARU 교환 요청",,Predictive Alert,MID,13108352,2025. 4. 2,2025. 4. 3,"[오진석]
4/3N 교환 완료",0,34,777_HL80052025-04-02 08:22:30,777,HL8005,Closed,,Pending,
195ef86fa3f1ed90,,AHM,787_HL8535,KE0970,2025. 4. 1,,,35-0020-S307,POSSIBLE LEAK DETECTED IN THE CREW OXYGEN SYSTEM  (35-0020-S307),,,POSSIBLE LEAK DETECTED IN THE CREW OXYGEN SYSTEM  (35-0020-S307),,,,,,,,,,FALSE,TRUE,[남태영] Monitoring,,No Action,,,,2025. 4. 1,,,35,787_HL85352025-04-01 13:06:29,787,HL8535,Monitoring,,N/A,
220_HL7201Tue Apr 01 2025 11:02:45 GMT+0900 (Korean Standard Time),,KAL,220_HL7201,KE1707,2025. 4. 1,,,220-KAL-36-001,A220 No.1 PRSOV Degradation,,,,,,,,,,,,,FALSE,TRUE,"[남태영] Monitoring (2024/11 기 교환, Post SB Part 장착)",,No Action,MID,,,2025. 4. 1,,8000,36,220_HL7201Tue Apr 01 2025 11:02:45 GMT+0900 (Korean Standard Time),220,HL7201,Monitoring,,N/A,
330_HL7524Mon Mar 31 2025 17:41:19 GMT+0900 (Korean Standard Time),,KAL,330_HL7524,KE866,2025. 3. 31,,,330-KAL-29-005,Yellow Hydraulic Leak Suspected - Slope 상승,,,,,,,,,,,,,FALSE,TRUE,"[오진석]
C CHK중
ESG Cycle 관리 기번",,No Action,MID,,,2025. 4. 2,,,29,330_HL7524Mon Mar 31 2025 17:41:19 GMT+0900 (Korean Standard Time),330,HL7524,Closed,,N/A,
195e18dcd7aa00eb,,AHM,748_HL7624,KE0552,2025. 3. 29,,,29-0121-S831,HYDRAULIC CASE DRAIN TEMPERATURE DIFFERENCE TOO LARGE: SYSTEMS 2 & 3  (29-0121-S831),,,HYDRAULIC CASE DRAIN TEMPERATURE DIFFERENCE TOO LARGE: SYSTEMS 2 & 3  (29-0121-S831),,,,,,,,,,FALSE,TRUE,"[오진석]
No.2 Temp 67도
No.3 Temp 46 도",,No Action,,,,2025. 3. 30,,,29,748_HL76242025-03-29 19:59:23,748,HL7624,Monitoring,,N/A,
